Date,GLD,QQQ,SPY,TLT,USO
2021-09-02,-0.0026517204262498373,-0.00047311272146066674,0.0030766471130352357,0.004365779454853946,0.021281044257650983
2021-09-03,0.01069422486613747,0.003075696336427125,-0.00024273406311103862,-0.009095018525912768,-0.0059244312769635155
2021-09-07,-0.01958371853465668,0.001415326217694357,-0.003575377316460626,-0.008435663853167519,-0.012741449523817394
2021-09-08,-0.0025044029033459703,-0.0034807285598732474,-0.0012183209432733433,0.006806116508358828,0.011448776573248942
2021-09-09,0.004423489287242344,-0.0034403642260588674,-0.004280005714881185,0.012100493687198677,-0.017287510803663864
2021-09-10,-0.005058656845151166,-0.007589544266872306,-0.007884756694614303,-0.008816797531022935,0.02198951281802186
2021-09-13,0.0033497597913456634,-0.0006903844509522639,0.0025592219109213943,0.006064901094758879,0.013934432700961175
2021-09-14,0.006438546534438316,-0.002843076863428995,-0.005396597925707125,0.012123173350430116,-0.0034356946345603934
2021-09-15,-0.005864266379652205,0.0074345277464726855,0.008352703246992776,-0.0035073343053330097,0.027986153214050624
2021-09-16,-0.02264197706190263,0.0006878015006033245,-0.0015850677317186257,-0.004582121357698532,0.00019731971792169567
2021-09-17,-0.0015850424237688898,-0.011842020282723298,-0.009741276793859832,-0.004803482435549178,-0.007495089988105219
2021-09-20,0.0071441542310690664,-0.020663153593245553,-0.0166740465645131,0.01240213106338861,-0.014308450418714536
2021-09-21,0.006669036185550814,0.0012301461565147331,-0.0009447723247922868,-0.0008611167659086094,-0.0004031581387414773
2021-09-22,-0.0037340107339023376,0.00934060951847937,0.009754866230590187,0.005964996294258951,0.018152434004508722
2021-09-23,-0.011546389089901132,0.00922680229680739,0.012150063049827686,-0.022597695392128192,0.017828873495251862
2021-09-24,-0.00128427290155253,0.0009387514176646405,0.0016469960095635283,-0.009772897046400275,0.00856361653487836
2021-09-27,0.00208203509820426,-0.007982210151420643,-0.002860676700786935,-0.003676228274953508,0.021034352740391116
2021-09-28,-0.009716428402719801,-0.028297727724167054,-0.02015189288893182,-0.015576661283215443,-0.009638977943753457
2021-09-29,-0.004504756024632184,-0.0016395342828853243,0.0016832193239282311,0.001734656510451682,-0.0015267524565848456
2021-09-30,0.01797665363761114,-0.0036741152048657133,-0.01222257724609932,-0.00013837392982396501,0.004587188070846571
2021-10-01,0.0022530453929923144,0.006201856897923852,0.011884319204559013,0.008415781811593748,0.013318054222842823
2021-10-04,0.0046783175745395145,-0.020989414639506432,-0.012895949528209827,-0.002545664222503463,0.02309431835705289
2021-10-05,-0.004656532835140448,0.013498812009407724,0.010405041072690357,-0.00965654246115677,0.02092125811218204
2021-10-06,0.0026733243283083574,0.006407920519179822,0.004155754794910926,0.005641451500771444,-0.02642461248388628
2021-10-07,-0.005271739220885419,0.009175109132359971,0.008645771894685295,-0.010457616430274319,0.022156587265883987
